Source;Target;Weight;Label;Type
0;2;0.5495489239692688;0 to 2;Undirected
0;3;0.5561774969100952;0 to 3;Undirected
0;47;0.5841144323348999;0 to 47;Undirected
0;51;0.5492422580718994;0 to 51;Undirected
0;53;0.5065996646881104;0 to 53;Undirected
0;65;0.5493877530097961;0 to 65;Undirected
0;77;0.5133761763572693;0 to 77;Undirected
0;118;0.5403832197189331;0 to 118;Undirected
0;119;0.7223256230354309;0 to 119;Undirected
0;120;0.8259734511375427;0 to 120;Undirected
0;127;0.5608034133911133;0 to 127;Undirected
0;133;0.5128578543663025;0 to 133;Undirected
0;136;0.5474558472633362;0 to 136;Undirected
0;137;0.7399274706840515;0 to 137;Undirected
0;138;0.7074295282363892;0 to 138;Undirected
0;141;0.7142091393470764;0 to 141;Undirected
0;143;0.6622621417045593;0 to 143;Undirected
0;144;0.695548415184021;0 to 144;Undirected
0;146;0.6098812818527222;0 to 146;Undirected
0;148;0.6560723185539246;0 to 148;Undirected
0;155;0.5596590042114258;0 to 155;Undirected
0;161;0.8332287073135376;0 to 161;Undirected
0;172;0.8644932508468628;0 to 172;Undirected
0;173;0.6052131652832031;0 to 173;Undirected
0;174;0.9294562935829163;0 to 174;Undirected
0;175;0.7270476222038269;0 to 175;Undirected
0;176;0.6624413728713989;0 to 176;Undirected
0;177;0.6753408908843994;0 to 177;Undirected
0;178;0.7136667370796204;0 to 178;Undirected
0;179;0.7153207659721375;0 to 179;Undirected
1;2;0.9114084839820862;1 to 2;Undirected
1;6;0.6650725603103638;1 to 6;Undirected
1;16;0.5554784536361694;1 to 16;Undirected
1;17;0.5475932955741882;1 to 17;Undirected
1;30;0.5239886045455933;1 to 30;Undirected
1;32;0.5146993398666382;1 to 32;Undirected
1;39;0.5304663777351379;1 to 39;Undirected
1;47;0.5489617586135864;1 to 47;Undirected
1;62;0.6797292828559875;1 to 62;Undirected
1;67;0.5001365542411804;1 to 67;Undirected
1;71;0.6871206760406494;1 to 71;Undirected
1;72;0.5164324045181274;1 to 72;Undirected
1;75;0.6577703952789307;1 to 75;Undirected
1;82;0.5380393266677856;1 to 82;Undirected
1;93;0.5655039548873901;1 to 93;Undirected
1;109;0.5719364881515503;1 to 109;Undirected
1;110;0.5649138689041138;1 to 110;Undirected
1;113;0.540809690952301;1 to 113;Undirected
1;114;0.7573348879814148;1 to 114;Undirected
1;118;0.5104299783706665;1 to 118;Undirected
1;122;0.912198007106781;1 to 122;Undirected
1;125;0.792041540145874;1 to 125;Undirected
1;126;0.8937053680419922;1 to 126;Undirected
1;129;0.6142086386680603;1 to 129;Undirected
1;130;0.729784369468689;1 to 130;Undirected
1;133;0.5864434838294983;1 to 133;Undirected
1;141;0.6581701040267944;1 to 141;Undirected
1;145;0.5828744173049927;1 to 145;Undirected
1;147;0.6182511448860168;1 to 147;Undirected
1;150;0.7138911485671997;1 to 150;Undirected
1;151;0.5041784048080444;1 to 151;Undirected
1;152;0.8622696399688721;1 to 152;Undirected
1;153;0.7964490056037903;1 to 153;Undirected
1;155;0.5445461869239807;1 to 155;Undirected
1;183;0.6479654908180237;1 to 183;Undirected
1;186;0.9074315428733826;1 to 186;Undirected
1;187;0.9502437710762024;1 to 187;Undirected
1;189;0.7877541780471802;1 to 189;Undirected
1;192;0.891502320766449;1 to 192;Undirected
1;195;0.6792858839035034;1 to 195;Undirected
1;196;0.7592097520828247;1 to 196;Undirected
1;197;0.7365158796310425;1 to 197;Undirected
2;0;0.549548864364624;2 to 0;Undirected
