ID;Label;Autor;Genero;Literatura
0;"Filósofo
autodidacto, El";Abentofail;Filosofía;ESPAÑOLA
1;"Escala
del tiempo, La";Abramov, Alexander y Sergei;Cuento Ciencia Ficción;RUSA
2;"Viaje
por tres mundos";Abramov, Alexander y Sergei;Novela Ciencia Ficción;RUSA
3;"Alma
asturiana, alma española";Acebal, Francisco;Artículo;ESPAÑOLA
4;"Combate
de la tapera, El";Acevedo Díaz, Eduardo;Novela Costumbrista;URUGUAYA
5;Chañarcillo;Acevedo Hernández, Antonio;Teatro;CHILENA
6;"Piratas
de Cartagena, Los";Acosta de Samper, Soledad;Novela de Aventura;URUGUAYA
7;"Escritos
menores";Acosta, José de ;Narrativa Española;ESPAÑOLA
8;"Escritos
menores";Acosta, José de ;Narrativa Española;ESPAÑOLA
9;"Cuatro
poemas ( Acuña)";Acuña, Hernando de ;Poesia;ESPAÑOLA
10;"Selección
Poética (Manuel Acuña)";Acuña, Manuel;Poesía;MEXICANA
11;"Campesino,
el oso y la zorra, El";Afanasiev, Aleksandr Nikoalevich ;Cuento;RUSA
12;"Cuentos
folklóricos rusos";Afanasiev, Aleksandr Nikoalevich ;Cuento;RUSA
13;"Gigante
Verlioka, El";Afanasiev, Aleksandr Nikoalevich ;Cuento;RUSA
14;"Pez
de oro, El";Afanasiev, Aleksandr Nikoalevich ;Cuento;RUSA
15;"Soldado
y la muerte, El";Afanasiev, Aleksandr Nikoalevich ;Cuento;RUSA
16;"Juan
de la Rosa";Aguirre, Nataniel;Novela histórica;BOLIVIANA
17;"Juan
de la Rosa";Aguirre, Nataniel;Novela histórica;BOLIVIANA
18;"Cantos
de la mañana";Agustini, Delmira;Poesía;URUGUAYA
19;"Rosario
de Eros, El";Agustini, Delmira;Poesía;URUGUAYA
20;"Selección
de poemas (Agustini)";Agustini, Delmira;Poesía;URUGUAYA
21;"Cuerpo
de mujer, Un";Akutagawa;Cuento;JAPONESA
22;"Biombo
del infierno, El";Akutagawa;Cuento;JAPONESA
23;"En
el bosque";Akutagawa;Cuento;JAPONESA
24;Kappa;Akutagawa;Cuento;JAPONESA
25;"Kesa
y Morito";Akutagawa;Cuento;JAPONESA
26;"Nariz,
La";Akutagawa;Cuento;JAPONESA
27;Rashomon;Akutagawa;Cuento;JAPONESA
28;Sennin;Akutagawa;Cuento;JAPONESA
29;"Carta
a un amigo";Akutagawa;Epístola;JAPONESA
30;"Ojos
negros, Los";Alarcón, Pedro Antonio de;Cuento;ESPAÑOLA
31;"A
0' 50 poeta";Alas <Clarin>, Leopoldo;Poesia;ESPAÑOLA
32;"Amor'
è furbo";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
33;"Apolo en
Pafos";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
34;Aprensiones;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
35;Avecilla;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
36;"Rey
Baltasar, El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
37;Benedictino;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
38;Boroña;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
39;Bustamante;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
40;"Cambio
de luz";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
41;"Candidato,
Un";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
42;Cánovas;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
43;"Centauro,
El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
44;"Adiós,
""Cordera""!";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
45;"Cristo
de la Vega? de Ribadeo, El";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
46;"Crítica
popular";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
47;"Cuento
futuro";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
48;Cuervo;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
49;"Cuesta
abajo";Alas <Clarin>, Leopoldo;Novela;ESPAÑOLA
50;"Comisión,
De la";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
51;"Discurso,
Un";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
52;"Doble
vía";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
53;"Doctor
Angelicus";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
54;"Documento,
Un";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
55;"Dos
sabios";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
56;"En
la droguería";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
57;"Hombre
de los estrenos";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
58;"Epoca..
Predicador, La";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
59;"Fantasía
de un Delegado de Hacienda, La";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
60;"Fraccionilla
de Taravilla, La";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
61;"Gallo de
Sócrates, El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
62;"Imitadores
de Campoamor, Los";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
63;"Jornalero,
Un";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
64;"Dos
cajas, Las";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
65;"Medalla?
de perro chico";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
66;"Médica,
La";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
67;"Mi
entierro";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
68;"Mis
plagios";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
69;"Oso
mayor, El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
70;"Pecado
original, El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
71;"Doctor
Pértinax, El";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
72;Pipá;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
73;Protesto;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
74;"Rafael
Calvo y el teatro español";Alas <Clarin>, Leopoldo;Ensayo;ESPAÑOLA
75;Reflejo;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
76;"Regenta,
La";Alas <Clarin>, Leopoldo;Novela;ESPAÑOLA
77;"Repatriado,
Un";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
78;Rivales;Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
79;"Ronca,
La";Alas <Clarin>, Leopoldo;Cuento;ESPAÑOLA
